"S1.1","S1.2","S1.3","S2.1","S2.2","S2.3","S3.1","S3.2","S3.3"
"Glyma10g05890.1",6.754228383,6.594121628,6.461917982,6.584520332,6.445930046,6.257365629,5.996473023,5.954811172,6.406236959
"Glyma15g06190.1",5.294105324,5.395194889,5.11730888,5.058658307,5.763545448,5.521175422,5.144875782,4.579428056,4.683947725
"Glyma14g06930.2",0.802444419,1.806181881,2.284122113,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma10g06040.1",7.847803285,8.309325361,7.83457335,7.788912422,7.830152502,8.021352926,8.132482569,8.189685481,8.006380487
"Glyma18g02260.1",6.793595219,6.812941929,6.830990812,7.066882008,7.155845006,7.172479641,6.827926518,6.818406457,6.867042744
"Glyma09g18900.6",0.802444419,0.802444419,1.488107454,0.802444419,1.773750117,0.802444419,0.802444419,1.374338448,0.802444419
"Glyma06g01500.2",5.498797641,4.894838485,5.992140828,3.100206401,3.220032249,2.485804332,2.400776787,1.780646184,3.255648587
"Glyma02g16240.3",5.179675485,4.851423497,4.669383961,4.297148571,5.243504132,5.435078974,5.04462986,4.797702211,4.591037204
"Glyma02g47000.1",4.409914796,4.259121106,4.27707327,4.297148571,3.220032249,3.48353348,1.960025921,2.854499165,2.134442499
"Glyma07g08110.1",8.00696842,8.348751361,7.997539166,8.16219999,8.084731928,7.914215251,7.472280675,8.117956772,7.741859599
"Glyma10g43600.1",0.802444419,2.195941712,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma13g34440.1",6.62923669,6.567624321,6.747196937,5.920745874,6.799644987,6.829103231,5.826077851,5.677708407,6.105441425
"Glyma08g41715.1",0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma19g01890.1",6.62923669,6.982978536,6.408358284,7.472612049,7.294329948,7.427527646,7.372686667,7.366941462,7.13612346
"Glyma06g43361.1",3.189934035,2.480108018,1.763406798,3.100206401,2.152379961,2.815709867,1.960025921,0.802444419,0.802444419
"Glyma09g37250.2",0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma07g25825.1",0.802444419,0.802444419,1.488107454,0.802444419,1.773750117,0.802444419,1.960025921,1.374338448,2.134442499
"Glyma13g28280.1",0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma06g08640.1",4.768720191,5.301681164,4.920405151,5.058658307,4.447440324,4.268174867,4.226705426,3.846316706,2.979755932
"Glyma10g06610.1",7.137474729,7.541221082,7.220917255,8.216000865,7.994737074,7.991545409,8.674325948,8.661722895,8.611566985
"Glyma15g40166.1",6.713756545,5.618378511,6.394651535,6.976239578,6.218221074,6.180149145,6.600248922,6.246382698,6.036940311
"Glyma02g38475.1",3.189934035,2.480108018,2.412894115,3.100206401,3.220032249,2.815709867,3.181867923,2.79429905,3.255648587
"Glyma18g12005.1",0.802444419,0.802444419,1.488107454,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma07g33040.2",6.111114732,6.778700979,6.507203969,6.044943819,6.466171164,6.23208373,6.702255895,6.86383609,7.016765508
